variation,process_step,time_diff_sec
Control,confirm,129.72467704937824
Control,start,177.30211190345585
Control,step_1,43.164558260393875
Control,step_2,38.85500974658869
Control,step_3,94.35991398620196
Test,confirm,129.5972628640886
Test,start,152.91716702458694
Test,step_1,37.81784503000261
Test,step_2,48.193508480645896
Test,step_3,97.404833836858
