client_id,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
5295191,Control,10.0,124.0,53,F,2.0,54648.17999999999,5.0,8.0
6629523,Test,13.0,166.0,63,U,2.0,28225.96,1.0,4.0
7333606,Test,4.0,58.0,54,U,2.0,32629.35,0.0,3.0
9582266,Test,21.0,253.0,60,M,5.0,293342.45,6.0,9.0
4706130,Control,7.0,86.0,20,U,2.0,45743.07,1.0,5.0
585691,Control,10.0,126.0,38,M,2.0,36254.33,6.0,9.0
8191330,Control,5.0,64.0,24,U,3.0,62090.91,6.0,9.0
1810801,Test,5.0,70.0,45,F,2.0,45938.22,0.0,3.0
4950671,Test,7.0,84.0,62,U,2.0,182743.8,5.0,8.0
2711657,Control,8.0,96.0,25,U,2.0,35790.05,6.0,9.0
3945005,Control,15.0,184.0,50,M,2.0,160072.69,5.0,8.0
1729247,Control,5.0,70.0,36,U,3.0,96098.57,0.0,3.0
2581786,Control,8.0,99.0,56,F,2.0,219435.25,1.0,4.0
9278882,Test,6.0,78.0,28,U,2.0,24037.62,2.0,5.0
6943538,Test,6.0,79.0,37,U,2.0,47040.65,6.0,9.0
335950,Control,9.0,112.0,54,F,2.0,49834.16,1.0,4.0
656481,Control,22.0,275.0,67,M,2.0,139001.11,1.0,4.0
5644149,Control,18.0,224.0,36,M,2.0,28327.13,3.0,6.0
3610632,Test,12.0,148.0,32,F,2.0,52127.97,6.0,9.0
917269,Control,5.0,60.0,53,U,2.0,62103.59,2.0,5.0
472271,Control,29.0,355.0,56,M,2.0,246418.16,6.0,9.0
6938297,Control,23.0,280.0,63,F,3.0,382683.0,4.0,7.0
8433097,Test,6.0,72.0,34,U,2.0,35074.009999999995,2.0,5.0
8740822,Control,12.0,147.0,30,M,2.0,49792.3,1.0,4.0
3754373,Test,20.0,246.0,42,F,3.0,174630.40000000002,2.0,5.0
9241279,Test,18.0,217.0,61,F,2.0,102714.61,1.0,4.0
3671996,Test,6.0,74.0,31,U,2.0,70015.42,2.0,5.0
19613,Control,7.0,84.0,26,U,2.0,69056.51999999999,4.0,7.0
461547,Test,15.0,189.0,54,F,3.0,36115.07,6.0,9.0
72988,Test,10.0,127.0,21,M,2.0,46803.96,3.0,6.0
3635129,Test,7.0,84.0,30,U,2.0,69416.54999999999,4.0,7.0
1165580,Test,5.0,65.0,66,U,2.0,167667.46000000002,6.0,9.0
5404759,Control,6.0,82.0,67,U,2.0,40169.93,6.0,9.0
9182143,Control,16.0,199.0,32,M,2.0,27976.03,3.0,6.0
1106634,Test,9.0,110.0,32,M,2.0,871390.8500000001,6.0,9.0
629666,Test,13.0,165.0,48,F,2.0,33565.35,0.0,3.0
6091101,Test,6.0,83.0,66,U,2.0,58344.27,5.0,8.0
3128149,Control,12.0,146.0,51,F,3.0,110412.63,6.0,9.0
3738189,Control,15.0,189.0,66,F,2.0,552511.24,6.0,9.0
2368690,Test,6.0,74.0,38,U,3.0,50438.55,0.0,3.0
1689225,Test,18.0,223.0,28,M,2.0,64805.05,0.0,3.0
6102201,Control,9.0,112.0,58,M,2.0,559296.66,4.0,7.0
8237194,Control,13.0,157.0,36,M,2.0,129395.06,4.0,7.0
1862644,Test,4.0,58.0,50,U,2.0,25638.26,1.0,4.0
8927733,Control,14.0,176.0,54,F,2.0,51196.02,6.0,9.0
9489360,Control,16.0,192.0,61,F,2.0,85860.59,0.0,3.0
312042,Test,6.0,73.0,72,F,2.0,317169.33,4.0,7.0
6681352,Control,15.0,180.0,42,M,2.0,29822.14,6.0,9.0
3134802,Control,24.0,290.0,50,F,2.0,48116.49,5.0,8.0
2250474,Test,7.0,84.0,66,U,2.0,37749.02,4.0,7.0
7468471,Control,10.0,131.0,34,M,2.0,118451.29,2.0,5.0
8526268,Test,4.0,57.0,60,U,2.0,86818.19,2.0,5.0
2952435,Test,14.0,168.0,33,M,2.0,40882.58,2.0,5.0
6210506,Control,12.0,155.0,35,M,2.0,119824.13,1.0,4.0
6138017,Test,21.0,259.0,53,F,2.0,56039.46,5.0,8.0
297011,Control,8.0,106.0,62,F,2.0,33984.72,1.0,4.0
1465091,Control,20.0,246.0,44,F,3.0,135093.81,3.0,6.0
1435541,Control,8.0,106.0,27,M,2.0,25555.39,3.0,6.0
9276875,Control,12.0,151.0,52,F,2.0,53918.63,0.0,3.0
7363198,Test,6.0,75.0,28,U,2.0,46877.1,6.0,9.0
6391543,Test,9.0,109.0,31,M,3.0,78368.45999999999,6.0,9.0
5049224,Test,14.0,178.0,47,F,2.0,35126.19,1.0,4.0
370021,Test,9.0,117.0,32,M,2.0,67569.14,1.0,4.0
2671924,Test,9.0,110.0,28,M,2.0,79154.67,2.0,5.0
9798513,Test,9.0,114.0,34,F,2.0,31628.13,6.0,9.0
